article,rev_id
Nassim Diafat,1213342432
Mokhtar Didouche,1227200392
Bouras Djamel,1226437538
Fatiha Serour,1218302579
Ahmed Hamiani,1226452639
Nadir Kassab,1226271746
Brahim Djamel Kassali,1172500304
Kaoutar Krikou,1213795388
Sassi Lamouri,1181986973
Mohamed Maghlaoui,1053469610
Amar Makhloufi,1235394946
Yassine Merabi,1214841607
Brahim Merad,1244511083
Bachir Messaitfa,1186318318
Azzedine Mihoubi,1233387309
Mohamed Ali Boughazi,1213870570
Amar Mohammedi,1226279231
Samia Moualfi,1212181372
Soraya Mouloudji,1226335614
Yacine Oualid,1214837789
Cherif Rahmani,1053461144
Lakhdar Rakhroukh,1186317568
Laid Rebiga,1248662394
Kamel Rezig,1215901775
Salim Saadi,1229426851
Abdelhak Saihi,1218004839
Hichem Sofiane Salaouatchi,1212186286
Naima Salhi,1213404244
Abderezak Sebgag,1212579707
Abderrachid Tabbi,1218530483
Karim Bibi Triki,1213794210
Layachi Yaker,1226060720
Ahmed Zeghdar,1213778323
Adão Francisco Correia de Almeida,1209524394
Ana Paula Chantre Luna de Carvalho,1209514022
Alexandre Sebastião André,1172178750
Paulino Baptista,1242307496
Bernarda Gonçalves Martins,1210193481
João Baptista Borges,1227794006
Carolina Cerqueira,1241977204
Arlete Chimbinda,1177486404
Kafundanga Chingunji,1191431794
Jeremias Chitunda,1220287872
Abel Chivukuvuku,1165626565
Fiel Domingos Constantino,1217387083
Adalberto Costa Júnior,1244123151
Adjany Costa,1242000475
Álvaro Arnaldo Craveiro,1194150567
Raul Danda,1158035855
Diamantino Pedro Azevedo,1209522689
Faustina Fernandes Inglês de Almeida Alves,1209514085
Abraão Gourgel,1124441544
Jofre Van-Dúnem Júnior,1242307432
José Carvalho da Rocha,1242307441
José Luis de Matos,1242307337
Kambamba Kulaxingo,1093124425
Jesus Faria Maiato,1209631313
Manuel Neto da Costa,1209411144
Manuel Tavares de Almeida,1209411217
Marcos Alexandre Nhunga,1209413818
Maria Cândida Pereira Teixeira,1218506469
Maria do Rosário Teixeira de Alva Sequeira Bragança Sambo,1209513699
David Mendes,1024544204
Saíde Mingas,1242306726
Fernando Faustino Muteka,1241977176
Pedro Mutinde,1209539718
José Ndele,1154991360
Ana Paula Sacramento Neto,1227909121
Daniel Ntongi-Nzinga,1187961349
Paula Cristina Francisco Coelho,1209410923
Pedro Pedalé,1115715527
Elias Salupeto Pena,1220287990
Johnny Eduardo Pinnock,1242307359
Santana André Pitra,1165626399
Francisco Manuel Monteiro de Queiróz,1242307454
José Aníbal Lopes Rocha,1242307479
José da Rocha,1153488959
Rosa Luís de Sousa Micolo,1246271741
Luís Gomes Sambo,1242306989
Branca Manuel Espirito Santo,1142474441
João Ernesto dos Santos,1226309621
José Filomeno dos Santos,1228399791
Jonas Savimbi,1246026420
Pinda Simão,1118804168
Manuel Bernardo de Sousa,1233607984
Augusto da Silva Tomás,1219179734
José Jacinto Van-Dúnem,1242841039
José Vieira Dias Van-Dúnem,1227004140
Luzia Inglês Van-Dúnem,1240720719
Manuel Vicente,1250493481
Mfulupinga Nlando Victor,1243272129
Clement Antonio,1241563106
Randolph Beazer,1247631912
Studiation Brown,825090349
Alex Browne (politician),1247631794
Colin O'Neil Browne,1241563118
James Carlisle,1242152285
Gail Christian,1241563122
Mackenzie Frank,1247632329
Osbert Richard Frederick,1241563130
Caleb Gardiner,1241563135
Shenella Mary Shadida Govia,1241563138
William Haynes-Smith,1250666577
Tim Hector,1227026341
Cheryl Mary Clare Hurst,1242813942
Wilfred Jacobs,1246340247
Rick James (actor),1213836084
Kiz Johnson,1247632301
Fabian Jones,1247632282
Johnathan Joseph (politician),1241563151
Kelvin Simon,1241592202
Harold Lovell,1241564680
Edmond Mansoor,1248648606
David Massiah,1247632248
Joanne Massiah,1241592526
Dwayne George,1247631631
